instance,n,value,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS,BOEM,EBOEM,KL,Louvain
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n,,,,
cars,33,1501,1501,1501,1501,1501,1499,1499,1499,1499,1501,1501,1501,1501
,,,0,0,0,0,0,0,0,0,0,0,0,0
cetacea,36,967,967,967,967,967,967,967,967,967,967,967,967,967
,,,0,0,0,0,0,0,0,0,0,0,0,0
companies,137,81802,81802,81802,81802,81802,81802,81802,81802,81802,81802,81802,81802,81802
,,,0,0,0,0,0,0,0,0,0,0,0,0
micro,40,966,966,966,966,966,966,966,966,966,804,804,966,804
,,,0,0,0,0,0,0,0,0,0,0,0,0
uno,54,798,798,798,798,798,798,798,798,798,760,760,798,760
,,,0,0,0,0,0,0,0,0,0.016,0,0,0
uno_1a,158,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197,12197
,,,0.016,0,0.016,0.016,0,0,0,0,0,0,0,0
uno_1b,139,11775,11775,11775,11775,11775,11775,11775,11775,11775,11775,11775,11775,11775
,,,0,0,0,0,0,0.016,0.016,0,0,0,0,0
uno_2a,158,72820,72820,72820,72820,72820,72820,72820,72820,72820,72820,72820,72820,72820
,,,0,0,0,0,0,0.016,0,0.016,0,0,0,0
uno_2b,145,71818,71818,71818,71818,71818,71818,71818,71818,71818,71818,71818,71818,71818
,,,0,0,0,0,0,0,0,0,0,0,0,0
uno_3a,158,73068,73068,73068,73068,73068,73068,73068,73068,73068,73068,73068,73068,73068
,,,0,0.016,0,0,0,0,0,0,0,0,0,0
uno_3b,147,72629,72629,72629,72629,72629,72629,72629,72629,72629,72629,72629,72629,72629
,,,0,0,0.016,0,0,0,0,0.016,0,0,0,0
wildcats,30,1304,1304,1304,1304,1304,1304,1304,1304,1304,1296,1296,1304,1296
,,,0,0,0,0,0,0,0,0,0,0,0,0
workers,34,964,964,964,964,964,964,964,964,964,964,964,964,964
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
bridges,108,3867,3867,3867,3867,3867,3835,3835,3838,3838,3867,3867,3867,3867
,,,0,0,0,0,0.016,0,0,0.016,0,0,0,0
Hayes-Roth,160,2800,2774,2774,2774,2774,2775,2775,2777,2777,2788,2796,2799,2796
,,,0,0.016,0,0,0.016,0.016,0.016,0.016,0,0,0.016,0
lecturers,797,14317,14297,14297,14283,14283,14230,14230,14244,14244,14207,14207,14208,14204
,,,1.484,1.391,0.25,0.25,3.469,3.281,0.641,0.672,0.047,0.016,0.75,0.031
lung-cancer,32,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472
,,,0,0,0,0,0,0,0,0,0,0,0,0
lymphography,148,19174,19174,19174,19174,19174,19138,19138,19170,19170,19170,19170,19170,19170
,,,0,0,0.016,0,0.016,0.016,0.016,0,0,0,0.016,0
primary-tumor,339,323614,323614,323614,323614,323614,323614,323614,323614,323614,323614,323614,323614,323614
,,,0.016,0.016,0.016,0,0.016,0.016,0.016,0.016,0,0,0.031,0
soup,209,4625,4622,4622,4622,4622,4613,4613,4613,4613,4619,4621,4621,4621
,,,0.016,0.016,0.016,0.016,0,0,0.016,0.016,0,0,0.031,0
soybean-21,47,3041,3041,3041,3041,3041,3041,3041,3041,3041,3041,3041,3041,3041
,,,0,0,0,0,0,0,0,0,0,0,0,0
soybean-35,47,14613,14613,14613,14613,14613,14613,14613,14613,14613,14613,14613,14613,14613
,,,0,0,0,0,0.016,0,0,0,0,0,0,0
soybean-large,307,316469,316080,316080,316080,316080,315802,315802,315802,315802,316080,316080,316080,316080
,,,0.031,0.031,0.016,0.016,0.016,0,0.016,0.016,0,0,0.062,0
sponge,76,25677,25677,25677,25677,25677,25677,25677,25677,25677,20401,20401,25677,20401
,,,0,0,0,0,0,0,0,0,0,0,0,0
ta-evaluation,151,1108,1092,1092,1092,1092,1102,1102,1092,1092,1059,1059,1059,1059
,,,0,0,0.016,0,0,0.016,0.016,0,0,0,0.016,0
zoo,101,16948,16948,16948,16948,16948,16844,16844,16844,16844,15460,15460,16948,15460
,,,0.016,0,0,0,0,0,0,0.016,0,0,0,0
boc_1,46,58,49,49,49,49,50,50,52,52,48,55,52,55
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_2,46,61,61,61,61,61,61,61,61,61,60,60,60,60
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_3,46,60,59,59,59,59,59,59,59,59,59,59,59,59
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_4,46,50,37,37,37,37,37,37,37,37,37,41,46,40
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
boc_5,46,72,72,72,72,72,72,72,72,72,72,72,72,72
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_6,46,76,76,76,76,76,75,75,75,75,75,76,75,76
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_7,46,78,78,78,78,78,78,78,78,78,78,78,78,78
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_8,46,61,60,60,60,60,54,54,54,54,56,59,60,59
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_9,46,89,89,89,89,89,89,89,89,89,89,89,89,89
,,,0,0,0,0,0,0,0,0,0,0,0,0
boc_10,46,70,70,70,70,70,70,70,70,70,67,67,70,67
,,,0,0,0,0,0,0,0,0,0,0,0,0
boe_91,55,80,77,77,79,79,78,78,77,77,79,79,79,79
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
bur_69,55,98,98,98,98,98,98,98,98,98,98,98,98,98
,,,0,0,0,0,0,0,0,0,0,0,0,0
bur_73,126,126,114,114,115,115,111,111,114,114,108,124,125,124
,,,0.016,0.016,0,0,0.047,0.047,0.016,0.016,0,0,0.031,0
bur_75,59,67,62,62,62,62,61,61,61,61,59,60,59,60
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
bur_91,59,72,63,63,63,63,63,63,63,63,63,63,63,63
,,,0,0,0,0,0,0,0,0,0,0,0,0
can_97,68,157,154,154,154,154,143,143,143,143,154,154,154,154
,,,0,0,0,0,0,0,0,0,0,0,0,0
cha_86,55,102,102,102,102,102,101,101,101,101,102,102,102,102
,,,0,0,0,0,0,0,0,0,0,0,0,0
cha_87,140,347,347,347,347,347,347,347,347,347,347,347,347,347
,,,0,0,0,0.016,0,0,0,0.016,0,0,0.016,0
gro_80,43,53,49,49,51,51,47,47,51,51,44,46,52,46
,,,0,0,0,0,0,0,0,0,0,0,0,0
ira_95,31,38,36,36,36,36,36,36,36,36,35,36,38,36
,,,0,0,0,0,0,0,0,0,0,0,0,0
kat_97,108,175,129,129,165,165,159,159,165,165,156,168,168,168
,,,0,0,0.016,0.016,0.016,0.016,0.016,0,0.016,0,0,0
kin_80,38,41,37,37,37,37,37,37,37,37,31,31,39,31
,,,0,0,0,0,0,0,0,0,0,0,0,0
lee_97,70,115,115,115,115,115,115,115,115,115,115,115,115,115
,,,0,0,0,0,0,0,0,0,0,0,0,0
mas_97,35,41,40,40,40,40,40,40,40,40,40,40,40,40
,,,0,0,0,0,0,0,0,0,0,0,0,0
mcc_72,40,43,43,43,43,43,43,43,43,43,43,43,43,43
,,,0,0.016,0,0,0,0,0,0,0,0,0,0
mil_91,60,46,39,39,39,39,35,35,35,35,34,42,34,42
,,,0,0,0,0,0,0,0,0.016,0,0,0,0
nai_96a,64,117,117,117,117,117,117,117,117,117,117,117,117,117
,,,0,0,0,0,0,0,0,0,0,0,0,0
nai_96b,64,93,93,93,93,93,91,91,93,93,93,93,93,93
,,,0,0,0,0,0,0,0,0,0,0,0,0
nai_96c,64,91,91,91,91,91,89,89,91,91,91,91,91,91
,,,0,0,0,0,0,0,0.016,0,0,0,0,0
nai_96d,64,74,71,71,71,71,70,70,71,71,71,72,73,72
,,,0,0,0,0,0,0,0,0,0,0,0,0
rog5,65,60,49,49,49,49,49,49,49,49,47,53,56,53
,,,0.016,0,0,0,0,0,0,0,0,0,0,0
sei_88,33,54,54,54,54,54,54,54,54,54,54,54,54,54
,,,0,0,0,0,0,0,0,0,0,0,0,0
sul_91,31,46,46,46,46,46,46,46,46,46,46,46,46,46
,,,0,0,0,0,0,0,0,0,0,0,0,0
Wang250,250,419,389,389,389,389,384,384,384,384,382,393,393,393
,,,0.016,0.031,0.016,0.016,0.062,0.047,0.016,0.031,0,0,0.078,0
Wang800,800,1177,1569,1569,1594,1594,1556,1556,1582,1582,1569,1550,1658,1550
,,,1.766,1.703,0.219,0.219,4.078,4.109,0.859,0.812,0.125,0,1.234,0
Wang1150,1150,3236,3098,3098,3098,3098,3060,3060,3066,3066,3098,3098,3128,3098
,,,3.328,3.438,0.422,0.406,5.859,6.609,1.766,2.016,0.234,0.016,2.375,0.031
ce50-20,50,58,47,47,46,46,45,45,44,44,45,51,57,51
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce50-30,50,79,68,68,68,68,63,63,64,64,64,68,75,68
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce50-40,50,105,95,95,101,101,96,96,97,97,95,99,98,99
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce50-50,50,163,152,152,153,153,147,147,152,152,144,158,158,158
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce50-60,50,257,254,254,254,254,254,254,254,254,254,254,255,254
,,,0,0,0.016,0,0,0,0,0,0,0,0,0
ce60-20,60,73,67,67,70,70,64,64,64,64,64,71,68,71
,,,0,0.016,0,0.016,0,0,0,0.016,0,0,0,0
ce60-30,60,100,87,87,88,88,79,79,79,79,84,91,94,91
,,,0.016,0,0,0,0,0,0,0,0,0,0,0
ce60-40,60,151,141,141,139,139,122,122,130,130,115,143,145,143
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce60-50,60,200,167,167,171,171,169,169,178,178,166,187,193,187
,,,0,0,0,0,0.016,0,0,0,0,0,0,0
ce60-60,60,373,369,369,369,369,369,369,369,369,369,369,373,369
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce70-20,70,93,77,77,78,78,73,73,70,70,75,78,84,78
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce70-30,70,128,105,105,105,105,98,98,98,98,103,107,124,107
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce70-40,70,177,152,152,158,158,149,149,163,163,143,148,169,148
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce70-50,70,266,241,241,241,241,234,234,234,234,241,241,241,241
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
ce70-60,70,491,491,491,491,491,491,491,491,491,491,491,491,491
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce80-20,80,107,92,92,92,92,87,87,87,87,91,97,101,97
,,,0,0.016,0,0,0,0,0,0,0,0,0,0
ce80-30,80,157,122,122,129,129,119,119,119,119,122,140,140,140
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce80-40,80,227,205,205,204,204,181,181,188,188,199,206,210,206
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
ce80-50,80,325,313,313,316,316,306,306,308,308,305,309,315,309
,,,0,0,0,0,0,0,0,0,0,0,0,0
ce80-60,80,657,657,657,657,657,657,657,657,657,657,657,657,657
,,,0,0,0,0,0,0,0,0,0,0,0,0
rand100-5,100,1407,1261,1261,1327,1327,1267,1267,1313,1313,1272,1364,1388,1349
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
rand100-100,100,24296,21880,21880,22631,22631,21237,21237,22158,22158,21880,22448,23424,22448
,,,0,0,0,0,0,0,0.016,0,0,0,0,0
rand200-5,200,4079,3683,3683,3705,3705,3580,3580,3556,3556,3661,3783,3840,3783
,,,0.047,0.047,0.016,0,0.094,0.078,0.016,0.016,0,0,0.078,0
rand200-100,200,74924,67265,67265,71057,71057,65961,65961,68438,68438,66464,70434,70458,70434
,,,0.047,0.047,0.016,0.031,0.094,0.094,0.047,0.047,0,0,0.078,0
rand300-5,300,7732,6797,6797,7125,7125,6468,6468,6775,6775,6993,7033,7096,7016
,,,0.266,0.25,0.094,0.094,0.516,0.516,0.141,0.156,0.031,0,0.141,0
rand300-100,300,152709,139994,139994,141929,141929,129826,129826,135045,135045,141821,142579,146648,142579
,,,0.359,0.375,0.062,0.062,0.484,0.5,0.125,0.125,0.047,0.016,0.281,0.016
rand400-5,400,12133,10781,10781,11216,11216,9838,9838,10133,10133,10235,11224,11527,11224
,,,1.031,1.031,0.234,0.203,1.797,1.75,0.25,0.266,0.062,0.016,0.656,0
rand400-100,400,222757,195751,195751,205023,205023,184622,184622,194844,194844,202358,203167,209175,203167
