instance,n,初期解,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n
cars,33,1499,1501,1501,1501,1501,1501,1501,1501,1501
,,0,0,0,0,0,0,0,0,
cetacea,36,967,967,967,967,967,967,967,967,967
,,0,0,0,0,0,0,0,0,
companies,137,81802,81802,81802,81802,81802,81802,81802,81802,81802
,,0,0,0,0,0.016,0,0.016,0,
micro,40,784,966,966,966,966,966,966,966,966
,,0,0,0,0,0,0,0,0,
uno,54,755,798,798,798,798,798,798,798,798
,,0,0,0,0,0,0,0.016,0,
uno_1a,158,12197,12197,12197,12197,12197,12197,12197,12197,12197
,,0.016,0,0,0,0.016,0,0,0,
uno_1b,139,11775,11775,11775,11775,11775,11775,11775,11775,11775
,,0,0,0,0,0,0,0,0,
uno_2a,158,72820,72820,72820,72820,72820,72820,72820,72820,72820
,,0,0,0,0,0.016,0,0,0.016,
uno_2b,145,71818,71818,71818,71818,71818,71818,71818,71818,71818
,,0,0,0,0,0,0,0.016,0,
uno_3a,158,73068,73068,73068,73068,73068,73068,73068,73068,73068
,,0,0,0,0,0,0,0,0,
uno_3b,147,72629,72629,72629,72629,72629,72629,72629,72629,72629
,,0,0,0,0,0.016,0,0.016,0.016,
wildcats,30,1296,1296,1296,1296,1296,1304,1304,1304,1304
,,0,0,0,0,0,0,0,0,
workers,34,955,964,964,964,964,964,964,964,964
,,0,0,0,0,0,0,0,0,
bridges,108,3794,3867,3867,3867,3867,3835,3835,3836,3836
,,0.016,0,0,0,0.016,0,0,0.016,
Hayes-Roth,160,2444,2797,2797,2797,2797,2796,2796,2796,2796
,,0,0,0,0.016,0.031,0.031,0.016,0.016,
lecturers,797,13684,14237,14237,14237,14237,14241,14241,14225,14225
,,1.281,1.344,0.25,0.25,5.391,5.312,0.828,0.672,
lung-cancer,32,3472,3472,3472,3472,3472,3472,3472,3472,3472
,,0,0,0,0,0,0,0,0,
lymphography,148,18988,19170,19170,19174,19174,19138,19138,19170,19170
,,0.016,0,0,0.016,0.016,0.016,0.016,0.016,
primary-tumor,339,323614,323614,323614,323614,323614,323614,323614,323614,323614
,,0,0,0,0,0,0.031,0,0.031,
soup,209,4610,4619,4619,4619,4619,4610,4610,4610,4610
,,0.016,0.016,0.016,0.016,0,0,0,0,
soybean-21,47,3041,3041,3041,3041,3041,3041,3041,3041,3041
,,0,0,0,0,0,0,0,0,
soybean-35,47,14613,14613,14613,14613,14613,14613,14613,14613,14613
,,0,0,0,0,0.016,0,0,0,
soybean-large,307,315802,316080,316080,316080,316080,316079,316079,316396,316396
,,0.016,0.031,0,0.016,0.047,0.094,0.031,0.109,
sponge,76,20401,25677,25677,25677,25677,25577,25577,25677,25677
,,0,0,0,0,0,0,0,0.016,
ta-evaluation,151,1092,1102,1102,1102,1102,1092,1092,1092,1092
,,0,0,0,0,0,0,0,0,
zoo,101,15316,16948,16948,16948,16948,16948,16948,16948,16948
,,0,0,0,0,0,0.016,0,0,
boc_1,46,50,52,52,52,52,52,52,52,52
,,0,0,0,0,0,0,0,0,
boc_2,46,58,60,60,60,60,60,60,60,60
,,0,0,0,0,0,0,0,0,
boc_3,46,58,60,60,60,60,60,60,60,60
,,0,0,0,0.016,0,0,0,0,
boc_4,46,40,48,48,48,48,42,42,42,42
,,0.016,0,0,0,0,0,0,0,
boc_5,46,67,72,72,72,72,72,72,72,72
,,0,0,0,0,0,0,0,0,
boc_6,46,72,76,76,76,76,76,76,76,76
,,0,0,0,0,0,0,0,0,
boc_7,46,78,78,78,78,78,78,78,78,78
,,0,0,0,0,0,0,0,0,
boc_8,46,56,61,61,61,61,58,58,58,58
,,0,0,0,0,0,0,0,0,
boc_9,46,89,89,89,89,89,89,89,89,89
,,0.016,0,0,0,0,0,0,0,
boc_10,46,66,70,70,70,70,70,70,70,70
,,0,0,0,0,0,0,0,0,
boe_91,55,63,73,73,73,73,72,72,75,75
,,0,0,0,0,0,0,0,0,
bur_69,55,92,98,98,98,98,96,96,96,96
,,0,0,0,0,0,0,0,0,
bur_73,126,103,115,115,118,118,113,113,119,119
,,0.016,0,0,0,0,0,0.016,0.016,
bur_75,59,59,63,63,63,63,66,66,66,66
,,0,0,0,0,0,0,0,0,
bur_91,59,60,69,69,70,70,68,68,71,71
,,0,0,0,0,0,0,0,0,
can_97,68,144,154,154,154,154,153,153,153,153
,,0.016,0,0.016,0,0,0,0,0,
cha_86,55,95,101,101,101,101,99,99,99,99
,,0,0.016,0,0,0,0,0,0,
cha_87,140,336,347,347,347,347,346,346,346,346
,,0,0,0,0,0.016,0,0,0.016,
gro_80,43,45,51,51,50,50,47,47,47,47
,,0,0,0,0,0,0,0,0,
ira_95,31,33,37,37,38,38,36,36,36,36
,,0,0,0,0,0,0,0,0,
kat_97,108,163,171,171,171,171,165,165,165,165
,,0,0,0,0,0.016,0,0.016,0,
kin_80,38,38,39,39,39,39,40,40,40,40
,,0,0,0,0,0,0,0,0,
lee_97,70,115,115,115,115,115,115,115,115,115
,,0,0,0,0,0,0,0,0,
mas_97,35,39,39,39,39,39,39,39,39,39
,,0,0,0,0,0,0,0,0,
mcc_72,40,42,43,43,43,43,43,43,43,43
,,0,0,0,0,0,0,0,0,
mil_91,60,37,40,40,40,40,41,41,43,43
,,0,0,0,0,0,0,0,0,
nai_96a,64,114,117,117,117,117,117,117,117,117
,,0,0,0,0,0,0,0.016,0,
nai_96b,64,93,93,93,93,93,93,93,93,93
,,0,0,0,0,0,0,0,0,
nai_96c,64,79,91,91,91,91,91,91,91,91
,,0,0,0,0,0,0,0,0,
nai_96d,64,74,74,74,74,74,74,74,74,74
,,0,0,0,0,0.016,0,0,0,
rog_05,65,47,53,53,53,53,51,51,51,51
,,0,0,0,0,0,0,0,0,
sei_88,33,50,53,53,54,54,52,52,52,52
,,0,0,0,0,0,0,0,0,
sul_91,31,43,46,46,46,46,43,43,43,43
,,0,0,0,0,0,0,0,0,
Wang250,250,360,377,377,381,381,382,382,385,385
,,0.031,0.031,0,0.016,0.078,0.078,0.047,0.031,
Wang800,800,1539,1587,1587,1581,1581,1568,1568,1572,1572
,,1.344,1.328,0.125,0.172,3.078,2.906,0.859,0.641,
Wang1150,1150,3055,3113,3113,3113,3113,3081,3081,3086,3086
,,3.906,3.922,0.609,0.594,8.594,9.094,2.656,2.875,
ce50-20,50,44,50,50,53,53,47,47,47,47
,,0,0,0,0,0.016,0,0,0,
ce50-30,50,65,67,67,67,67,67,67,67,67
,,0,0,0,0,0,0,0,0,
ce50-40,50,78,93,93,93,93,88,88,88,88
,,0,0,0,0,0,0,0,0,
ce50-50,50,131,142,142,148,148,144,144,144,144
,,0,0,0,0,0,0,0,0,
ce50-60,50,252,255,255,255,255,254,254,254,254
,,0,0,0,0,0,0,0,0,
ce60-20,60,51,67,67,67,67,67,67,64,64
,,0,0.016,0,0,0,0,0.016,0,
ce60-30,60,80,88,88,93,93,90,90,91,91
,,0,0,0,0,0,0,0,0,
ce60-40,60,110,134,134,132,132,121,121,121,121
,,0,0,0,0,0,0,0.016,0,
ce60-50,60,173,189,189,189,189,184,184,187,187
,,0,0,0,0,0,0,0,0,
ce60-60,60,369,373,373,373,373,372,372,372,372
,,0,0,0,0,0,0,0,0,
ce70-20,70,68,82,82,86,86,82,82,82,82
,,0.016,0,0,0,0,0.016,0,0,
ce70-30,70,98,107,107,105,105,100,100,100,100
,,0,0,0,0,0,0,0,0,
ce70-40,70,141,154,154,164,164,155,155,158,158
,,0,0,0.016,0,0,0,0,0,
ce70-50,70,222,236,236,239,239,235,235,235,235
,,0,0.016,0,0,0,0,0,0,
ce70-60,70,491,491,491,491,491,491,491,491,491
,,0,0,0,0,0,0.016,0,0,
ce80-20,80,86,92,92,93,93,93,93,93,93
,,0.016,0,0,0,0.016,0,0,0,
ce80-30,80,122,131,131,131,131,126,126,128,128
,,0,0,0,0,0,0,0,0,
ce80-40,80,189,206,206,209,209,201,201,206,206
,,0,0,0,0.016,0,0,0,0.016,
ce80-50,80,268,301,301,302,302,293,293,299,299
,,0,0,0,0,0,0,0.016,0.016,
ce80-60,80,657,657,657,657,657,657,657,657,657
,,0,0,0,0,0,0.016,0,0,
rand100-5,100,1199,1331,1331,1342,1342,1249,1249,1318,1318
,,0.016,0,0.016,0,0,0.016,0,0,
rand100-100,100,19375,21037,21037,23383,23383,21460,21460,21966,21966
,,0,0.016,0.016,0,0.016,0.016,0.016,0,
rand200-5,200,3146,3698,3698,3602,3602,3647,3647,3790,3790
,,0.078,0.078,0.031,0.016,0.266,0.281,0.078,0.078,
rand200-100,200,59686,68809,68809,68440,68440,63772,63772,66722,66454
,,0.078,0.078,0.016,0.016,0.188,0.188,0.047,0.031,
rand300-5,300,5931,7081,6866,7121,7082,6802,6857,6818,7076
,,0.359,0.234,0.078,0.109,0.938,1.172,0.156,0.312,
rand300-100,300,126875,137104,141146,137709,142469,137960,140271,136359,137764
,,0.109,0.281,0.031,0.062,0.641,1.078,0.141,0.266,
rand400-5,400,9131,10542,10542,11206,11009,10240,10344,10754,11038
,,0.328,0.406,0.141,0.141,1.297,2.719,0.281,0.641,
rand400-100,400,170085,197527,198659,202662,202662,197456,199906,197362,194598
,,0.5,0.594,0.094,0.094,2.422,3.547,0.531,0.5,
rand500-5,500,12751,15244,15382,15407,15768,14940,15435,14957,15696
,,0.969,1.516,0.219,0.266,3.125,10.672,0.484,1.406,
rand500-100,500,235616,277127,282620,284517,282851,272084,275400,276244,284869
,,0.625,1.344,0.219,0.172,2.984,6.438,0.438,0.797,
regnier300-50,300,26924,29930,30060,30442,30684,29434,28956,30270,30364
,,0.141,0.25,0.047,0.062,0.656,0.922,0.141,0.203,
sym300-50,300,14444,16210,16266,16050,16234,15012,15724,15554,15526
,,0.156,0.219,0.047,0.062,0.312,1.656,0.141,0.25,
zahn300,300,1959,2134,2225,2226,2241,2116,2133,2128,2166
,,0.109,0.234,0.031,0.062,0.438,0.766,0.109,0.172,
p500-5-1,500,14688,15894,16423,16054,16632,15556,16083,15827,16215
,,0.438,0.797,0.094,0.203,1.188,8.344,0.281,1.328,
p500-5-2,500,14090,15120,15634,15434,15886,14756,15187,15067,15246
,,0.406,1.047,0.109,0.266,1.375,9.578,0.391,1.141,
p500-5-3,500,13640,14786,15339,15291,15515,14736,15032,15069,15294
,,0.312,1.141,0.156,0.281,1.641,7.344,0.438,0.969,
p500-5-4,500,13088,14648,15085,15005,15163,14621,14848,14828,15160
,,0.531,1.297,0.188,0.25,2.406,8.156,0.266,1.125,
p500-5-5,500,12941,15514,15529,15461,15657,15382,15376,15370,15464
,,0.719,1,0.141,0.203,2.938,8.469,0.391,0.922,
p500-5-6,500,12513,15136,15145,15288,15364,14532,15124,14653,14885
,,1.156,1.422,0.219,0.406,3.328,10.016,0.422,0.609,
p500-5-7,500,12725,14637,15301,15222,15479,14499,15037,14714,15166
,,0.703,1.766,0.203,0.328,2.781,8.281,0.703,1.344,
p500-5-8,500,12895,15489,15465,15749,15604,15041,15517,15321,15531
,,1.047,1.703,0.281,0.25,4,12.031,0.734,1.031,
p500-5-9,500,13032,14767,15078,15064,15318,14857,14984,14739,15015
,,0.609,1.078,0.156,0.141,3.406,9.141,0.359,0.859,
p500-5-10,500,13712,15325,15583,15340,15959,14798,15131,15038,15591
,,0.734,1.297,0.156,0.297,2.062,9.844,0.391,1.891,
p500-100-1,500,240603,273616,275070,279000,280034,272115,273010,278443,275996
,,0.688,1.016,0.156,0.297,3.359,6.469,0.594,0.625,
p500-100-2,500,248104,267061,285014,269599,280485,272490,271903,273787,276699
,,0.344,1.375,0.109,0.281,3.344,6.625,0.422,0.875,
p500-100-3,500,240085,272204,276069,283787,286763,270202,273817,285228,281414
,,0.828,1.438,0.234,0.266,2.484,8.234,0.969,1.234,
p500-100-4,500,239406,272232,275898,281712,279248,266336,272764,266625,271421
,,0.938,1.266,0.219,0.297,3.141,10.781,0.453,1.344,
p500-100-5,500,238246,279278,283882,279827,284093,273763,278290,278992,280553
,,0.828,1.594,0.172,0.297,3.094,8.438,0.578,0.891,
p500-100-6,500,228653,272595,277315,281578,286993,257472,275251,273126,277769
,,0.875,1.406,0.25,0.266,1.891,12.781,0.312,0.906,
p500-100-7,500,234915,269731,286647,273103,283642,258071,262962,274325,269595
,,0.953,2.141,0.172,0.266,3.125,9.125,0.656,0.844,
p500-100-8,500,237543,267923,270446,268996,276906,259637,264599,261561,274087
,,0.891,1.141,0.156,0.25,2,7.781,0.406,2,
p500-100-9,500,230186,282795,282795,281168,285679,270353,282412,278400,284323
,,1.25,1.562,0.281,0.281,4.75,10.031,0.469,1.141,
p500-100-10,500,242801,280769,271931,283466,291255,265211,278528,272678,278896
,,1.125,0.875,0.234,0.453,2.672,13.047,0.453,2.094,
p1000-1,1000,676962,775292,801106,786003,815690,761545,796030,777544,794685
,,5.297,16.672,1.266,4.438,15.141,176.062,2.812,16.969,
p1000-2,1000,671195,777619,807433,792027,814228,756844,794584,769677,802442
,,5.969,18.344,1.391,3.938,13.422,184.016,2.078,16.641,
p1000-3,1000,637793,760518,780606,773033,794665,734103,766196,742353,792231
,,7.531,19.969,1.203,3.844,26.844,132.266,3.328,16.766,
p1000-4,1000,665239,744539,794031,746871,789345,722998,775967,730444,783134
,,4.938,25.766,1.141,2.875,10.828,251.578,2.422,17.031,
p1000-5,1000,681780,774552,800323,792266,821930,767430,784178,777750,797247
,,4.844,18.141,1.344,3.906,28.875,172.047,4.406,22.969,
p1500-1,1500,1222135,1377309,1458698,1432203,1473532,1347481,1425283,1373388,1451586
,,16.562,88.203,4.203,14.406,56.719,1129.891,7.391,90.109,
p1500-2,1500,1255515,1435396,1508231,1431410,1519464,1382202,1482994,1398550,1490861
,,18.188,93.562,2.391,15.297,42.891,1067.984,9.047,61.812,
p1500-3,1500,1224808,1362977,1460695,1404737,1481266,1360240,1420659,1375326,1452841
,,14.984,98.094,4.391,20.562,76.922,1070.078,8.531,82.328,
p1500-4,1500,1207062,1394854,1504084,1406910,1510708,1345226,1507481,1347004,1490998
,,17.953,107.719,3.953,13.031,45.734,2119.844,4.812,104.938,
p1500-5,1500,1190284,1354257,1444105,1370743,1452960,1310375,1411040,1321196,1429812
,,17.547,95.672,3.609,14.203,51.828,1536.297,7.984,92.031,
p2000-1,2000,1917214,2131709,2277778,2160666,2291876,2075167,2204750,2143017,2256860
,,31.984,261.047,4.594,36.938,126.75,>3600,19.797,315.062,
p2000-2,2000,1905715,2184093,2274370,2192185,2302121,2129027,2238507,2163157,2258067
,,37.781,204.078,5.688,32.812,177.781,>3600,21.234,211,
p2000-3,2000,1962117,2195211,2356851,2221112,2341341,2131470,2292014,2180422,2329567
,,33.875,265.141,4.578,16.547,92.234,>3600,19.516,424.219,
p2000-4,2000,1915259,2200164,2308821,2183252,2310487,2120179,2265495,2105334,2301364
,,35.266,212.391,5.109,26.219,97.797,3593.938,10.359,200.297,
p2000-5,2000,1895562,2138574,2296745,2175060,2310882,2130025,2207617,2119961,2275151
,,30.297,258.547,5.438,38.359,190,>3600,15.359,320,
gauss500-100-1,500,217353,242714,244701,245027,246665,237585,237068,242225,240154
,,0.875,1.516,0.172,0.297,3.125,6.328,0.547,1.453,
gauss500-100-2,500,216345,240373,243729,242620,246214,226928,235605,234924,242848
,,0.75,1.453,0.141,0.219,1.328,10.344,0.594,2.016,
gauss500-100-3,500,201051,228916,227819,227479,235010,217715,219442,218044,222210
,,1.188,1.203,0.188,0.359,2.484,8.109,0.391,1.078,
gauss500-100-4,500,216417,238960,246266,241237,253379,234159,237414,232645,240324
,,0.719,1.672,0.141,0.281,2.938,11.609,0.234,0.969,
gauss500-100-5,500,214786,240353,243413,242845,248476,225341,234700,234940,242933
,,0.625,1.453,0.172,0.344,0.969,6.516,0.312,1.578,
unif700-100-1,700,391991,446762,469728,451611,473651,442692,464932,457919,470390
,,2.172,6.797,0.375,0.781,6.391,40.578,1.844,4.062,
unif700-100-2,700,394632,453213,468683,464545,479180,447643,450199,455216,458024
,,1.875,5.875,0.562,1.141,7.25,30.547,1.062,2.203,
unif700-100-3,700,398345,450273,467654,471629,474304,457105,463178,456962,465627
,,2.016,6.188,0.656,0.844,11.109,38.234,1.391,2.703,
unif700-100-4,700,391289,447538,474843,458514,473073,444058,450411,450859,473800
,,1.594,7.094,0.469,1.203,7.219,21.891,1.531,7,
unif700-100-5,700,396282,449967,450522,455113,460095,444865,454464,450803,452668
,,2.031,3.344,0.375,0.703,6.5,30.156,1.484,3.984,
unif800-100-1,800,497743,570433,582925,582210,586819,564586,581394,571141,583108
